scenario_id,product_id,weight
S01,P001,0.059127725737
S01,P002,0.050833377885
S01,P003,0.035685381904
S01,P004,0.034204345018
S01,P005,0.039787416430
S01,P006,0.051613418940
S01,P007,0.068672933370
S01,P008,0.092725878884
S01,P009,0.094173736967
S01,P015,0.049576667823
S01,P017,0.019154356433
S01,P021,0.112217653788
S01,P023,0.053198461375
S01,P024,0.027121160252
S01,P025,0.057157106966
S01,P027,0.074783678736
S01,P029,0.079956699496
S02,P001,0.003391445685
S02,P002,0.004765495046
S02,P003,0.015053678305
S02,P004,0.004824235846
S02,P005,0.005311306818
S02,P006,0.010632969741
S02,P007,0.009470202603
S02,P008,0.018706623277
S02,P009,0.056993739933
S02,P010,0.199998000000
S02,P011,0.043513416203
S02,P012,0.048557718309
S02,P013,0.052714156003
S02,P014,0.125095029790
S02,P015,0.007883534039
S02,P016,0.035463002510
S02,P017,0.012162471049
S02,P018,0.048549503546
S02,P019,0.031804509559
S02,P020,0.047772390013
S02,P021,0.022189413339
S02,P022,0.013613876755
S02,P023,0.004330099299
S02,P024,0.010811595310
S02,P025,0.010945691137
S02,P026,0.033084472469
S02,P027,0.010601617122
S02,P028,0.061083237361
S02,P029,0.011322740690
S02,P030,0.039343828243
S03,P001,0.004347376675
S03,P002,0.005504969960
S03,P003,0.015999396342
S03,P004,0.005489753258
S03,P005,0.005938093931
S03,P006,0.012042111865
S03,P007,0.010386845971
S03,P008,0.020474199402
S03,P009,0.060958785136
S03,P010,0.199998000000
S03,P011,0.043855289585
S03,P012,0.052085816809
S03,P013,0.055801946815
S03,P014,0.088793043602
S03,P015,0.008861284346
S03,P016,0.034571317950
S03,P017,0.012939331226
S03,P018,0.051547882369
S03,P019,0.031410940048
S03,P020,0.050792879620
S03,P021,0.024511799355
S03,P022,0.013347145464
S03,P023,0.005184065095
S03,P024,0.012450971656
S03,P025,0.012479289552
S03,P026,0.032860287658
S03,P027,0.011753377200
S03,P028,0.063697254557
S03,P029,0.012663812332
S03,P030,0.039242732222
S04,P001,0.002766219543
S04,P002,0.004503361765
S04,P003,0.014641833901
S04,P004,0.004548636527
S04,P005,0.005041537817
S04,P006,0.010011682303
S04,P007,0.008826259596
S04,P008,0.017858713300
S04,P009,0.054489020047
S04,P010,0.217019623223
S04,P011,0.042642052593
S04,P012,0.046396515788
S04,P013,0.051059637402
S04,P014,0.132001556538
S04,P015,0.007644193233
S04,P016,0.034502415692
S04,P017,0.011805858168
S04,P018,0.046657627684
S04,P019,0.030851671567
S04,P020,0.045910334480
S04,P021,0.021042422381
S04,P022,0.013702947334
S04,P023,0.003988881071
S04,P024,0.010458650495
S04,P025,0.010257966949
S04,P026,0.032305320199
S04,P027,0.010187494503
S04,P028,0.059868619479
S04,P029,0.010694427744
S04,P030,0.038304518675
S05,P001,0.011263378261
S05,P002,0.009603396128
S05,P003,0.020637107271
S05,P004,0.008985130643
S05,P005,0.009589945202
S05,P006,0.019437351864
S05,P007,0.017856448257
S05,P008,0.030925180714
S05,P009,0.085511323101
S05,P010,0.101426475285
S05,P011,0.047336514056
S05,P012,0.069578331633
S05,P013,0.069160511170
S05,P015,0.013304297382
S05,P016,0.031923970522
S05,P017,0.016903316823
S05,P018,0.068216941531
S05,P019,0.030021753076
S05,P020,0.063616149629
S05,P021,0.037930196118
S05,P022,0.005817320646
S05,P023,0.010025035793
S05,P024,0.018175266517
S05,P025,0.020388461972
S05,P026,0.031030382109
S05,P027,0.017922390599
S05,P028,0.072503024240
S05,P029,0.020487527667
S05,P030,0.040412871791
S06,P001,0.008354465687
S06,P002,0.008001603761
S06,P003,0.019169966601
S06,P004,0.007751747308
S06,P005,0.008163574211
S06,P006,0.016885546492
S06,P007,0.014480927692
S06,P008,0.026911738805
S06,P009,0.076528807347
S06,P010,0.153119710333
S06,P011,0.046461127870
S06,P012,0.064871102148
S06,P013,0.066210098919
S06,P015,0.011787929403
S06,P016,0.033940899822
S06,P017,0.015604975178
S06,P018,0.062895975501
S06,P019,0.031857685771
S06,P020,0.061276379093
S06,P021,0.032948456012
S06,P022,0.011106390000
S06,P023,0.008147664610
S06,P024,0.016902873443
S06,P025,0.017736410493
S06,P026,0.033229421841
S06,P027,0.015602751887
S06,P028,0.071678419938
S06,P029,0.017502547590
S06,P030,0.040860802246
S07,P001,0.060016252542
S07,P002,0.047533668748
S07,P003,0.038002634976
S07,P004,0.031657372741
S07,P005,0.037128415902
S07,P006,0.052909553787
S07,P007,0.067840428612
S07,P008,0.092295403560
S07,P009,0.109812062169
S07,P015,0.043281104857
S07,P017,0.022989418375
S07,P018,0.003159305520
S07,P021,0.113400514708
S07,P023,0.049766389900
S07,P024,0.032760804424
S07,P025,0.056807121329
S07,P027,0.068010022971
S07,P029,0.072619524881
S08,P001,0.007573114819
S08,P002,0.007571352998
S08,P003,0.018775884068
S08,P004,0.007420453357
S08,P005,0.007780442652
S08,P006,0.016200116699
S08,P007,0.013574243199
S08,P008,0.025833704921
S08,P009,0.074116051273
S08,P010,0.167004814489
S08,P011,0.046225994039
S08,P012,0.063606712879
S08,P013,0.065417600996
S08,P015,0.011380624127
S08,P016,0.034482658784
S08,P017,0.015256233046
S08,P018,0.061466733020
S08,P019,0.032350827990
S08,P020,0.060647903093
S08,P021,0.031610331591
S08,P022,0.012527064849
S08,P023,0.007643391770
S08,P024,0.016561101248
S08,P025,0.017024054012
S08,P026,0.033820096728
S08,P027,0.014979683412
S08,P028,0.071456926418
S08,P029,0.016700764547
S08,P030,0.040981118977
S09,P001,0.002240599784
S09,P002,0.004167377437
S09,P003,0.014187722848
S09,P004,0.004233604935
S09,P005,0.004741585467
S09,P006,0.009332613969
S09,P007,0.008308084093
S09,P008,0.016985049640
S09,P009,0.052337084578
S09,P010,0.222445829918
S09,P011,0.042247577664
S09,P012,0.044503240152
S09,P013,0.049478183623
S09,P014,0.146594967750
S09,P015,0.007234139168
S09,P016,0.034500574401
S09,P017,0.011426993831
S09,P018,0.045031029300
S09,P019,0.030682268297
S09,P020,0.044285694772
S09,P021,0.019884031717
S09,P022,0.013822390583
S09,P023,0.003588604193
S09,P024,0.009786534539
S09,P025,0.009515236394
S09,P026,0.032133465339
S09,P027,0.009662324496
S09,P028,0.058589121835
S09,P029,0.010036355737
S09,P030,0.038007713544
S10,P001,0.029310402706
S10,P002,0.023295788038
S10,P003,0.028887824782
S10,P004,0.018007185191
S10,P005,0.020398835119
S10,P006,0.035505151850
S10,P007,0.040819265499
S10,P008,0.058051860665
S10,P009,0.122429615016
S10,P011,0.023689029181
S10,P012,0.069396110706
S10,P013,0.066931559353
S10,P015,0.026660582822
S10,P017,0.023389332612
S10,P018,0.079067761443
S10,P020,0.048219950472
S10,P021,0.069835187367
S10,P023,0.024721330037
S10,P024,0.026285979976
S10,P025,0.036443282085
S10,P027,0.036467009107
S10,P028,0.049107216493
S10,P029,0.042322655724
S10,P030,0.000747083758
S11,P001,0.007201439127
S11,P002,0.007338423139
S11,P003,0.018473657569
S11,P004,0.007206897114
S11,P005,0.007572558616
S11,P006,0.015741712664
S11,P007,0.013198663980
S11,P008,0.025230753858
S11,P009,0.072647215560
S11,P010,0.171232877550
S11,P011,0.045970662116
S11,P012,0.062372119913
S11,P013,0.064404064922
S11,P014,0.008861240444
S11,P015,0.011104260688
S11,P016,0.034517952647
S11,P017,0.015002744329
S11,P018,0.060382988822
S11,P019,0.032281109272
S11,P020,0.059619168165
S11,P021,0.030817011101
S11,P022,0.012695076100
S11,P023,0.007366447878
S11,P024,0.016130016167
S11,P025,0.016525183991
S11,P026,0.033755444606
S11,P027,0.014618919056
S11,P028,0.070665118127
S11,P029,0.016247289492
S11,P030,0.040808982989
S12,P001,0.070377552005
S12,P002,0.052387453124
S12,P003,0.039211494282
S12,P004,0.031786737343
S12,P005,0.041319654818
S12,P006,0.060610546536
S12,P007,0.069964527232
S12,P008,0.097861310689
S12,P009,0.069618024005
S12,P015,0.032986637326
S12,P017,0.017844806700
S12,P021,0.127296187605
S12,P023,0.053623665147
S12,P024,0.036362929968
S12,P025,0.060846120978
S12,P027,0.066232559090
S12,P029,0.071659793150
S13,P001,0.007080001708
S13,P002,0.007260798451
S13,P003,0.018368741282
S13,P004,0.007134113276
S13,P005,0.007503258636
S13,P006,0.015584823004
S13,P007,0.013078946458
S13,P008,0.025028905548
S13,P009,0.072150039638
S13,P010,0.172486530062
S13,P011,0.045879523957
S13,P012,0.061934703888
S13,P013,0.064038691169
S13,P014,0.012232853002
S13,P015,0.011009523179
S13,P016,0.034517527241
S13,P017,0.014915212789
S13,P018,0.060007185012
S13,P019,0.032241970911
S13,P020,0.059243816881
S13,P021,0.030549380425
S13,P022,0.012722671866
S13,P023,0.007273969257
S13,P024,0.015974732760
S13,P025,0.016353586026
S13,P026,0.033715739838
S13,P027,0.014497585547
S13,P028,0.070369507302
S13,P029,0.016095250753
S13,P030,0.040740410132
S14,P001,0.002214394166
S14,P002,0.004150626397
S14,P003,0.014165082412
S14,P004,0.004217898528
S14,P005,0.004726630859
S14,P006,0.009298757925
S14,P007,0.008282249620
S14,P008,0.016941491732
S14,P009,0.052229796373
S14,P010,0.222716362182
S14,P011,0.042227910482
S14,P012,0.044408847850
S14,P013,0.049399337701
S14,P014,0.147322545741
S14,P015,0.007213695262
S14,P016,0.034500482601
S14,P017,0.011408104940
S14,P018,0.044949932621
S14,P019,0.030673822425
S14,P020,0.044204695746
S14,P021,0.019826278286
S14,P022,0.013828345618
S14,P023,0.003568647745
S14,P024,0.009753025117
S14,P025,0.009478206367
S14,P026,0.032124897238
S14,P027,0.009636141301
S14,P028,0.058525330421
S14,P029,0.010003546500
S14,P030,0.037992915847
S15,P001,0.092252470671
S15,P002,0.064399212409
S15,P003,0.037341917813
S15,P004,0.032064905254
S15,P005,0.051064946747
S15,P006,0.075266264767
S15,P007,0.069535146704
S15,P008,0.108091849886
S15,P015,0.009091532961
S15,P017,0.002227699850
S15,P021,0.155334091833
S15,P023,0.062767059032
S15,P024,0.040924819397
S15,P025,0.069019239082
S15,P027,0.061151400062
S15,P029,0.069457443535
S16,P001,0.040703626736
S16,P002,0.032672645680
S16,P003,0.033135368399
S16,P004,0.023830586169
S16,P005,0.026892074663
S16,P006,0.042797871160
S16,P007,0.051550766951
S16,P008,0.072451505196
S16,P009,0.126599531002
S16,P012,0.046045631094
S16,P013,0.049556010912
S16,P015,0.035546000260
S16,P017,0.024551677754
S16,P018,0.063294834745
S16,P020,0.020470662736
S16,P021,0.086698406029
S16,P023,0.034590222837
S16,P024,0.030349062471
S16,P025,0.044982071308
S16,P027,0.049395533914
S16,P028,0.008650880385
S16,P029,0.055225029598
S17,P001,0.081051914408
S17,P002,0.057511787179
S17,P003,0.040424055478
S17,P004,0.031921620586
S17,P005,0.045728991055
S17,P006,0.068606742410
S17,P007,0.071896317596
S17,P008,0.103536813843
S17,P009,0.026063415724
S17,P015,0.022166068882
S17,P017,0.012131059547
S17,P021,0.141413886400
S17,P023,0.057623759816
S17,P024,0.039835391035
S17,P025,0.065033903558
S17,P027,0.064327073500
S17,P029,0.070717198984
S18,P001,0.013594162844
S18,P002,0.010886842385
S18,P003,0.021812663004
S18,P004,0.009973386834
S18,P005,0.010732833972
S18,P006,0.021482002044
S18,P007,0.020561105440
S18,P008,0.034140976407
S18,P009,0.092708620615
S18,P010,0.060006944032
S18,P011,0.048037922769
S18,P012,0.073350029004
S18,P013,0.071524547630
S18,P015,0.014519296808
S18,P016,0.030307893175
S18,P017,0.017943621271
S18,P018,0.072480399188
S18,P019,0.028550700403
S18,P020,0.065490905557
S18,P021,0.041921846860
S18,P022,0.001579420403
S18,P023,0.011529291317
S18,P024,0.019194779508
S18,P025,0.022513434979
S18,P026,0.029268387626
S18,P027,0.019781015777
S18,P028,0.073163743647
S18,P029,0.022879261818
S18,P030,0.040053964683
S19,P001,0.084060142398
S19,P002,0.084668320880
S19,P003,0.006005486466
S19,P004,0.043142451325
S19,P005,0.065504515734
S19,P006,0.060443015475
S19,P007,0.048623445969
S19,P008,0.098770398584
S19,P015,0.031654619777
S19,P021,0.137569997927
S19,P023,0.081735755739
S19,P025,0.064522513180
S19,P027,0.090104750145
S19,P029,0.103184586398
S20,P001,0.045604448802
S20,P002,0.028847706112
S20,P003,0.036418742289
S20,P004,0.019189076592
S20,P005,0.023955588327
S20,P006,0.047432801050
S20,P007,0.050448519877
S20,P008,0.073021211074
S20,P009,0.131566198904
S20,P012,0.054602169379
S20,P013,0.046843911245
S20,P015,0.019657147437
S20,P017,0.028092663403
S20,P018,0.065235058333
S20,P020,0.021737743123
S20,P021,0.093956517228
S20,P023,0.029853441669
S20,P024,0.040175264658
S20,P025,0.045370242357
S20,P027,0.036615781937
S20,P028,0.019486508278
S20,P029,0.041879257928
